rxnID,rxnFormula,LB,UB,note
MAR04372,"2,3-bisphospho-D-glycerate [Cytosol] + H2O [Cytosol]  -> 3-phospho-D-glycerate [Cytosol] + Pi [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04373,"1,3-bisphospho-D-glycerate [Cytosol] + H+ [Cytosol] + NADH [Cytosol]  <=> D-glyceraldehyde 3-phosphate [Cytosol] + NAD+ [Cytosol] + Pi [Cytosol] ",-1000,1000,"Original human 1 reaction and default constraints."
MAR04375,"DHAP [Cytosol] + D-glyceraldehyde 3-phosphate [Cytosol]  <=> fructose-1,6-bisphosphate [Cytosol] ",-1000,1000,"Original human 1 reaction and default constraints."
MAR04377,"fructose-1,6-bisphosphate [Cytosol] + H2O [Cytosol]  -> fructose-6-phosphate [Cytosol] + Pi [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04381,"fructose-6-phosphate [Cytosol]  <=> glucose-6-phosphate [Cytosol] ",-1000,1000,"Original human 1 reaction and default constraints."
MAR04391,"DHAP [Cytosol]  <=> D-glyceraldehyde 3-phosphate [Cytosol] ",-1000,1000,"Original human 1 reaction and default constraints."
MAR04394,"ATP [Cytosol] + glucose [Cytosol]  -> ADP [Cytosol] + glucose-6-phosphate [Cytosol] + H+ [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04396,"glucose-1-phosphate [Cytosol]  <=> glucose-6-phosphate [Cytosol] ",-1000,1000,"Original human 1 reaction and default constraints."
MAR04521,"glucose-6-phosphate [Endoplasmic reticulum] + H2O [Endoplasmic reticulum]  -> glucose [Endoplasmic reticulum] + Pi [Endoplasmic reticulum] ",0,1000,"Original human 1 reaction and default constraints."
MAR06412,"CoA [Mitochondria] + S-acetyldihydrolipoamide [Mitochondria]  -> acetyl-CoA [Mitochondria] + dihydrolipoamide [Mitochondria] ",0,1000,"Original human 1 reaction and default constraints."
MAR07745,"beta-D-glucose [Cytosol]  <=> glucose [Cytosol] ",-1000,1000,"Original human 1 reaction and default constraints."
MAR07747,"ADP [Cytosol] + glucose [Cytosol]  -> AMP [Cytosol] + glucose-6-phosphate [Cytosol] + H+ [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR08360,"ethanol [Peroxisome] + H2O2 [Peroxisome]  -> acetaldehyde [Peroxisome] + 2 H2O [Peroxisome] ",0,1000,"Original human 1 reaction and default constraints."
MAR08652,"carbamoyl-phosphate [Endoplasmic reticulum] + glucose [Endoplasmic reticulum]  -> CO2 [Endoplasmic reticulum] + glucose-6-phosphate [Endoplasmic reticulum] + NH3 [Endoplasmic reticulum] ",0,1000,"Original human 1 reaction and default constraints."
MAR08757,"ethanol [Cytosol] + H+ [Cytosol] + NADPH [Cytosol] + O2 [Cytosol]  -> acetaldehyde [Cytosol] + 2 H2O [Cytosol] + NADP+ [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR03989,"H2O [Extracellular] + maltose [Extracellular]  -> 2 glucose [Extracellular] ",0,1000,"Original human 1 reaction and default constraints."
MAR04122,"H2O [Cytosol] + 2 NAD+ [Cytosol] + UDP-glucose [Cytosol]  -> 3 H+ [Cytosol] + 2 NADH [Cytosol] + UDP-glucuronate [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04837,"H2O [Extracellular] + trehalose [Extracellular]  -> 2 glucose [Extracellular] ",0,1000,"Original human 1 reaction and default constraints."
MAR05395,"glycogenin [Cytosol] + 8 UDP-glucose [Cytosol]  -> glycogenin G8 [Cytosol] + 8 H+ [Cytosol] + 8 UDP [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR05396,"glycogenin G8 [Cytosol] + 3 UDP-glucose [Cytosol]  -> glycogenin G11 [Cytosol] + 3 H+ [Cytosol] + 3 UDP [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR09727,"UDP-glucose [Cytosol]  -> H+ [Cytosol] + UDP [Cytosol] + glycogen [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR05397,"glycogenin G11 [Cytosol]  -> glycogenin G4G7 [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR05398,"glycogenin G4G7 [Cytosol] + 3 Pi [Cytosol]  -> 3 glucose-1-phosphate [Cytosol] + glycogenin G4G4 [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR05399,"glycogenin G4G4 [Cytosol]  -> glycogenin G7G1 [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR05400,"glycogenin G7G1 [Cytosol] + H2O [Cytosol]  -> glucose [Cytosol] + glycogenin G7 [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR05401,"glycogenin G7 [Cytosol] + 7 Pi [Cytosol]  -> 7 glucose-1-phosphate [Cytosol] + glycogenin [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR08568,"H2O [Cytosol] + maltodecaose [Cytosol]  -> fructose [Cytosol] + maltononaose [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR08569,"H2O [Extracellular] + maltodecaose [Extracellular]  -> glucose [Extracellular] + maltononaose [Extracellular] ",0,1000,"Original human 1 reaction and default constraints."
MAR08570,"2 H2O [Cytosol] + maltononaose [Cytosol]  -> 2 fructose [Cytosol] + maltoheptaose [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR08571,"2 H2O [Extracellular] + maltononaose [Extracellular]  -> 2 glucose [Extracellular] + maltoheptaose [Extracellular] ",0,1000,"Original human 1 reaction and default constraints."
MAR08572,"H2O [Cytosol] + maltoheptaose [Cytosol]  -> fructose [Cytosol] + maltohexaose [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR08573,"H2O [Extracellular] + maltoheptaose [Extracellular]  -> glucose [Extracellular] + maltohexaose [Extracellular] ",0,1000,"Original human 1 reaction and default constraints."
MAR08574,"H2O [Cytosol] + maltohexaose [Cytosol]  -> fructose [Cytosol] + maltopentaose [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR08575,"H2O [Extracellular] + maltohexaose [Extracellular]  -> glucose [Extracellular] + maltopentaose [Extracellular] ",0,1000,"Original human 1 reaction and default constraints."
MAR08576,"H2O [Cytosol] + maltopentaose [Cytosol]  -> fructose [Cytosol] + maltotetraose [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR08577,"H2O [Extracellular] + maltopentaose [Extracellular]  -> glucose [Extracellular] + maltotetraose [Extracellular] ",0,1000,"Original human 1 reaction and default constraints."
MAR08578,"H2O [Cytosol] + maltotetraose [Cytosol]  -> fructose [Cytosol] + maltotriose [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR08579,"H2O [Extracellular] + maltotetraose [Extracellular]  -> glucose [Extracellular] + maltotriose [Extracellular] ",0,1000,"Original human 1 reaction and default constraints."
MAR08581,"H2O [Extracellular] + maltotriose [Extracellular]  -> glucose [Extracellular] + maltose [Extracellular] ",0,1000,"Original human 1 reaction and default constraints."
MAR08591,"H2O [Cytosol] + maltotriose [Cytosol]  -> glucose [Cytosol] + maltose [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR08592,"H2O [Lysosome] + maltotriose [Lysosome]  -> glucose [Lysosome] + maltose [Lysosome] ",0,1000,"Original human 1 reaction and default constraints."
MAR08580,"H2O [Cytosol] + maltotriose [Cytosol]  -> fructose [Cytosol] + maltose [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR08582,"H2O [Cytosol] + maltose [Cytosol]  -> 2 fructose [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR08587,"H2O [Cytosol] + maltose [Cytosol]  -> 2 glucose [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR08589,"H2O [Lysosome] + maltose [Lysosome]  -> 2 glucose [Lysosome] ",0,1000,"Original human 1 reaction and default constraints."
MAR08583,"8 H2O [Extracellular] + starch structure 1 [Extracellular]  -> 8 glucose [Extracellular] + starch structure 2 [Extracellular] ",0,1000,"Original human 1 reaction and default constraints."
MAR08584,"H2O [Extracellular] + starch structure 2 [Extracellular]  -> glucose [Extracellular] + maltose [Extracellular] ",0,1000,"Original human 1 reaction and default constraints."
MAR08585,"1,3-bisphospho-D-glycerate [Cytosol] + glucose-1-phosphate [Cytosol]  -> 3-phospho-D-glycerate [Cytosol] + glucose-1,6-bisphosphate [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR03944,"glucose-1-phosphate [Cytosol] + H+ [Cytosol] + UTP [Cytosol]  -> PPi [Cytosol] + UDP-glucose [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04128,"UDP-galactose [Cytosol]  <=> UDP-glucose [Cytosol] ",-1000,1000,"Original human 1 reaction and default constraints."
MAR04130,"ATP [Cytosol] + galactose [Cytosol]  -> ADP [Cytosol] + alpha-D-galactose-1-phosphate [Cytosol] + H+ [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04131,"glucose-1-phosphate [Cytosol] + UDP-galactose [Cytosol]  <=> alpha-D-galactose-1-phosphate [Cytosol] + UDP-glucose [Cytosol] ",-1000,1000,"Original human 1 reaction and default constraints."
MAR04132,"galactose-1-phosphate [Cytosol] + UDP-glucose [Cytosol]  -> glucose-1-phosphate [Cytosol] + UDP-galactose [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04303,"H2O [Extracellular] + sucrose [Extracellular]  -> fructose [Extracellular] + glucose [Extracellular] ",0,1000,"Original human 1 reaction and default constraints."
MAR04414,"ATP [Cytosol] + galactose [Cytosol]  -> ADP [Cytosol] + galactose-1-phosphate [Cytosol] + H+ [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04415,"H2O [Extracellular] + lactose [Extracellular]  -> galactose [Extracellular] + glucose [Extracellular] ",0,1000,"Original human 1 reaction and default constraints."
MAR04416,"galactosylglycerol [Extracellular] + H2O [Extracellular]  -> galactose [Extracellular] + glycerol [Extracellular] ",0,1000,"Original human 1 reaction and default constraints."
MAR04774,"CDP [Cytosol] + H+ [Cytosol] + tagatose-1,6-bisphosphate [Cytosol]  <=> CTP [Cytosol] + D-tagatose-6-phosphate [Cytosol] ",-1000,1000,"Original human 1 reaction and default constraints."
MAR04775,"D-tagatose-6-phosphate [Cytosol] + ITP [Cytosol]  <=> H+ [Cytosol] + IDP [Cytosol] + tagatose-1,6-bisphosphate [Cytosol] ",-1000,1000,"Original human 1 reaction and default constraints."
MAR04831,"lactose [Extracellular] + NAD+ [Extracellular]  <=> 3-ketolactose [Extracellular] + H+ [Extracellular] + NADH [Extracellular] ",-1000,1000,"Original human 1 reaction and default constraints."
MAR04832,"3-keto-beta-D-galactose [Extracellular] + glucose [Extracellular]  <=> 3-ketolactose [Extracellular] + H2O [Extracellular] ",-1000,1000,"Original human 1 reaction and default constraints."
MAR07674,"glucose [Golgi apparatus] + UDP-galactose [Golgi apparatus]  -> H+ [Golgi apparatus] + lactose [Golgi apparatus] + UDP [Golgi apparatus] ",0,1000,"Original human 1 reaction and default constraints."
MAR08761,"ATP [Cytosol] + D-tagatose [Cytosol]  -> ADP [Cytosol] + D-tagatose-6-phosphate [Cytosol] + H+ [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR08762,"D-tagatose-6-phosphate [Cytosol]  <=> DHAP [Cytosol] + glyceraldehyde [Cytosol] ",-1000,1000,"Original human 1 reaction and default constraints."
MAR08764,"H2O [Lysosome] + lactose [Lysosome]  -> galactose [Lysosome] + glucose [Lysosome] ",0,1000,"Original human 1 reaction and default constraints."
MAR08766,"galactose [Cytosol] + H+ [Cytosol] + NADPH [Cytosol]  <=> galactitol [Cytosol] + NADP+ [Cytosol] ",-1000,1000,"Original human 1 reaction and default constraints."
MAR08767,"alpha-D-galactose-1-phosphate [Cytosol] + H+ [Cytosol] + UTP [Cytosol]  -> PPi [Cytosol] + UDP-galactose [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR00454,"ATP [Cytosol] + glyceraldehyde [Cytosol]  -> ADP [Cytosol] + D-glyceraldehyde 3-phosphate [Cytosol] + H+ [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04297,"ATP [Cytosol] + fructose-6-phosphate [Cytosol]  -> ADP [Cytosol] + fructose-2,6-bisphosphate [Cytosol] + H+ [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04310,"ATP [Cytosol] + fructose [Cytosol]  -> ADP [Cytosol] + fructose-1-phosphate [Cytosol] + H+ [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04315,"D-glucitol [Cytosol] + NAD+ [Cytosol]  <=> fructose [Cytosol] + H+ [Cytosol] + NADH [Cytosol] ",-1000,1000,"Original human 1 reaction and default constraints."
MAR04316,"D-glucitol [Cytosol] + NADP+ [Cytosol]  <=> glucose [Cytosol] + H+ [Cytosol] + NADPH [Cytosol] ",-1000,1000,"Original human 1 reaction and default constraints."
MAR04317,"ATP [Cytosol] + D-glucitol [Cytosol]  -> ADP [Cytosol] + H+ [Cytosol] + sorbitol-3-phosphate [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04318,"ATP [Cytosol] + fructose [Cytosol]  -> ADP [Cytosol] + fructose-3-phosphate [Cytosol] + H+ [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04319,"ATP [Cytosol] + fructose [Cytosol]  -> ADP [Cytosol] + fructose-6-phosphate [Cytosol] + H+ [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04320,"ATP [Cytosol] + mannose-1-phosphate [Cytosol]  -> ADP [Cytosol] + D-mannose-1,6-bisphosphate [Cytosol] + H+ [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04356,"DHAP [Cytosol] + glyceraldehyde [Cytosol]  -> fructose-1-phosphate [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04383,"fructose-6-phosphate [Cytosol]  <=> mannose-6-phosphate [Cytosol] ",-1000,1000,"Original human 1 reaction and default constraints."
MAR04385,"mannose-6-phosphate [Cytosol]  -> mannose-1-phosphate [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04386,"GDP [Cytosol] + H+ [Cytosol] + mannose-1-phosphate [Cytosol]  -> GDP-mannose [Cytosol] + Pi [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04387,"GTP [Cytosol] + H+ [Cytosol] + mannose-1-phosphate [Cytosol]  -> GDP-mannose [Cytosol] + PPi [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04399,"GDP-mannose [Cytosol]  -> GDP-4-dehydro-6-deoxy-D-mannose [Cytosol] + H2O [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04400,"GDP-4-dehydro-6-deoxy-D-mannose [Cytosol] + H+ [Cytosol] + NADH [Cytosol]  -> GDP-L-fucose [Cytosol] + NAD+ [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04401,"GTP [Cytosol] + H+ [Cytosol] + L-fucose-1-phosphate [Cytosol]  -> GDP-L-fucose [Cytosol] + PPi [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04402,"6-deoxy-L-galactose [Cytosol] + ATP [Cytosol]  <=> ADP [Cytosol] + H+ [Cytosol] + L-fucose-1-phosphate [Cytosol] ",-1000,1000,"Original human 1 reaction and default constraints."
MAR04403,"6-deoxy-L-galactose [Cytosol]  -> L-fuculose [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04490,"ATP [Cytosol] + mannose [Cytosol]  -> ADP [Cytosol] + H+ [Cytosol] + mannose-6-phosphate [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04706,"fructose-2,6-bisphosphate [Cytosol] + H2O [Cytosol]  -> fructose-6-phosphate [Cytosol] + Pi [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR08768,"GDP-4-dehydro-6-deoxy-D-mannose [Cytosol] + H+ [Cytosol] + NADPH [Cytosol]  -> GDP-L-fucose [Cytosol] + NADP+ [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04590,"H+ [Cytosol] + L-xylulose [Cytosol] + NADPH [Cytosol]  -> NADP+ [Cytosol] + xylitol [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04591,"NAD+ [Cytosol] + xylitol [Cytosol]  -> H+ [Cytosol] + L-xylulose [Cytosol] + NADH [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04592,"D-xylose [Cytosol] + H+ [Cytosol] + NADPH [Cytosol]  <=> NADP+ [Cytosol] + xylitol [Cytosol] ",-1000,1000,"Original human 1 reaction and default constraints."
MAR04593,"NAD+ [Cytosol] + xylitol [Cytosol]  -> D-xylulose [Cytosol] + H+ [Cytosol] + NADH [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04594,"D-xylose [Cytosol] + NADP+ [Cytosol]  -> D-xylonolactone [Cytosol] + H+ [Cytosol] + NADPH [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04595,"ADP [Cytosol] + D-xylulose-5-phosphate [Cytosol] + H+ [Cytosol]  <=> ATP [Cytosol] + D-xylulose [Cytosol] ",-1000,1000,"Original human 1 reaction and default constraints."
MAR08341,"H+ [Cytosol] + L-arabinose [Cytosol] + NADPH [Cytosol]  -> L-arabitol [Cytosol] + NADP+ [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR08342,"H+ [Cytosol] + L-xylulose [Cytosol] + NADH [Cytosol]  <=> L-arabitol [Cytosol] + NAD+ [Cytosol] ",-1000,1000,"Original human 1 reaction and default constraints."
MAR08344,"glucuronate [Endoplasmic reticulum] + H+ [Endoplasmic reticulum] + NADPH [Endoplasmic reticulum]  <=> L-gulonate [Endoplasmic reticulum] + NADP+ [Endoplasmic reticulum] ",-1000,1000,"Original human 1 reaction and default constraints."
MAR08352,"3-dehydro-L-gulonate [Cytosol] + H+ [Cytosol] + NADH [Cytosol]  <=> L-gulonate [Cytosol] + NAD+ [Cytosol] ",-1000,1000,"Original human 1 reaction and default constraints."
MAR08353,"3-dehydro-L-gulonate [Cytosol] + H+ [Cytosol]  <=> CO2 [Cytosol] + L-xylulose [Cytosol] ",-1000,1000,"Original human 1 reaction and default constraints."
MAR08726,"ATP [Cytosol] + D-ribulose [Cytosol]  -> ADP [Cytosol] + H+ [Cytosol] + ribulose-5-phosphate [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR08727,"H2O [Cytosol] + UDP-glucuronate [Cytosol]  -> D-glucuronate 1-phosphate [Cytosol] + 2 H+ [Cytosol] + UMP [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR08728,"D-glucuronate 1-phosphate [Cytosol] + H2O [Cytosol]  -> glucuronate [Cytosol] + Pi [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR08729,"H2O [Cytosol] + UDP-glucuronate [Cytosol]  -> glucuronate [Cytosol] + H+ [Cytosol] + UDP [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR06537,"glucuronate [Cytosol] + H+ [Cytosol] + NADPH [Cytosol]  <=> L-gulonate [Cytosol] + NADP+ [Cytosol] ",-1000,1000,"Original human 1 reaction and default constraints."
MAR01568,"acetaldehyde [Cytosol] + H2O [Cytosol] + NAD+ [Cytosol]  -> acetate [Cytosol] + 2 H+ [Cytosol] + NADH [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR03853,"GSH [Cytosol] + methylglyoxal [Cytosol]  -> (R)-S-lactoylglutathione [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR03854,"H+ [Cytosol] + methylglyoxal [Cytosol] + NADH [Cytosol]  -> lactaldehyde [Cytosol] + NAD+ [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR03855,"H+ [Cytosol] + lactaldehyde [Cytosol] + NADPH [Cytosol]  -> NADP+ [Cytosol] + propane-1,2-diol [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR03857,"(R)-S-lactoylglutathione [Cytosol] + H2O [Cytosol]  -> D-lactate [Cytosol] + GSH [Cytosol] + H+ [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR03859,"D-lactate [Cytosol] + 2 ferricytochrome C [Mitochondria]  -> 2 ferrocytochrome C [Mitochondria] + 2 H+ [Cytosol] + pyruvate [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04087,"malate [Mitochondria] + NAD+ [Mitochondria]  -> CO2 [Mitochondria] + NADH [Mitochondria] + pyruvate [Mitochondria] ",0,1000,"Original human 1 reaction and default constraints."
MAR04089,"malate [Cytosol] + NADP+ [Cytosol]  -> CO2 [Cytosol] + NADPH [Cytosol] + pyruvate [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04091,"malate [Mitochondria] + NADP+ [Mitochondria]  -> CO2 [Mitochondria] + NADPH [Mitochondria] + pyruvate [Mitochondria] ",0,1000,"Original human 1 reaction and default constraints."
MAR04093,"acetyl-CoA [Cytosol] + H2O [Cytosol]  -> acetate [Cytosol] + CoA [Cytosol] + H+ [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04095,"acetyl-CoA [Mitochondria] + H2O [Mitochondria]  -> acetate [Mitochondria] + CoA [Mitochondria] + H+ [Mitochondria] ",0,1000,"Original human 1 reaction and default constraints."
MAR04101,"GTP [Cytosol] + OAA [Cytosol]  -> CO2 [Cytosol] + GDP [Cytosol] + PEP [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR04103,"GTP [Mitochondria] + OAA [Mitochondria]  -> CO2 [Mitochondria] + GDP [Mitochondria] + PEP [Mitochondria] ",0,1000,"Original human 1 reaction and default constraints."
MAR04143,"ATP [Mitochondria] + HCO3- [Mitochondria] + pyruvate [Mitochondria]  -> ADP [Mitochondria] + H+ [Mitochondria] + OAA [Mitochondria] + Pi [Mitochondria] ",0,1000,"Original human 1 reaction and default constraints."
MAR04193,"CDP [Cytosol] + H+ [Cytosol] + PEP [Cytosol]  -> CTP [Cytosol] + pyruvate [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR08497,"H+ [Cytosol] + methylglyoxal [Cytosol] + NADPH [Cytosol]  -> hydroxyacetone [Cytosol] + NADP+ [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR08498,"acetone [Cytosol] + H+ [Cytosol] + NADPH [Cytosol] + O2 [Cytosol]  -> H2O [Cytosol] + hydroxyacetone [Cytosol] + NADP+ [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR08499,"H+ [Cytosol] + hydroxyacetone [Cytosol] + NADPH [Cytosol] + O2 [Cytosol]  -> 2 H2O [Cytosol] + methylglyoxal [Cytosol] + NADP+ [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR08500,"H+ [Cytosol] + hydroxyacetone [Cytosol] + NADPH [Cytosol]  -> NADP+ [Cytosol] + propane-1,2-diol [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR08501,"H+ [Cytosol] + methylglyoxal [Cytosol] + NADPH [Cytosol]  -> D-lactaldehyde [Cytosol] + NADP+ [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR08502,"(R)-S-lactoylglutathione [Cytosol] + H+ [Cytosol] + NADH [Cytosol]  <=> D-lactaldehyde [Cytosol] + GSH [Cytosol] + NAD+ [Cytosol] ",-1000,1000,"Original human 1 reaction and default constraints."
MAR08503,"H2O [Cytosol] + lactaldehyde [Cytosol] + NAD+ [Cytosol]  -> 2 H+ [Cytosol] + L-lactate [Cytosol] + NADH [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
MAR08504,"D-lactaldehyde [Cytosol] + H2O [Cytosol] + NAD+ [Cytosol]  -> D-lactate [Cytosol] + 2 H+ [Cytosol] + NADH [Cytosol] ",0,1000,"Original human 1 reaction and default constraints."
