"DEG_WBID","DEG_geneName","cluster_index","GEP_name"
"WBGene00012756","Y41C4A.9",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00017981","figl-1",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00001026","dnj-8",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00011940","T23B5.3",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00010975","R01H10.7",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00022119","copa-1",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00007980","C36E8.1",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00012466","ippk-1",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00001995","hpl-1",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00001980","hmr-1",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00000010","aat-9",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00000876","cyl-1",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00003656","nhr-66",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00004506","rpt-6",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00016695","C45H4.14",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00016702","C46A5.6",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00018995","ccpp-1",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00206362","B0041.11",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00020297","nog-1",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00012097","abcf-2",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00013127","Y52B11A.8",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00007720","C25D7.10",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00022268","Y73E7A.1",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00010479","K01G5.8",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00004360","rib-1",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00012730","xrn-1",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00013765","cdkr-3",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00000366","cbp-1",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00001094","dars-1",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00013339","phf-14",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00019771","M04F3.5",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00010552","K04C1.2",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00021047","zfp-3",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00016162","crh-2",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00008149","pyp-1",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00000208","trip-4",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00012317","ztf-6",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00017898","F28C10.3",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00021765","Y51F10.4",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00006517","madd-3",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00004215","ptp-3",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00021648","mis-12",49,"Germline #1 gene expression and nuclear proteins"
"WBGene00022022","txt-6",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00014061","ZK673.5",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00020901","T28F2.2",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00021597","spsb-1",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00007690","sftd-3",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00018238","F40F4.7",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00304996","F55A12.18",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00011116","pdcd-2",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00018723","F53A3.7",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00008041","ufc-1",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00022027","vps-20",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00015099","ggtb-1",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00018593","F48B9.8",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00003603","nhr-4",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00303007","Y57G11C.1147",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00016678","txbp-3",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00019657","K11G12.6",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00001170","egl-1",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00016710","fbxc-52",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00008170","C48B4.7",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00012390","gpap-1",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00011558","ostf-4",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00017422","F13C5.1",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00017954","F31E8.4",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00008664","nubp-1",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00018795","F54C4.4",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00004774","sem-5",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00022426","Y104H12D.2",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00012237","W04A8.2",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00014064","sdz-37",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00050944","C14A11.9",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00015974","snrp-40.2",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00013269","Y57A10A.29",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00011252","R11H6.4",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00077787","T05E12.10",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00044493","Y54G2A.50",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00044508","nsy-7",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00007237","C01G10.10",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00013360","tmed-4",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00021319","Y34B4A.2",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00010666","K08E4.2",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00007102","B0024.13",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00017737","F23C8.8",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00022123","Y71F9AR.2",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00010054","gtf-2E2",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00015852","C16C8.14",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00021942","madf-1",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00017157","tyra-2",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00012365","W09G3.1",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00016489","fubl-3",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00015429","sor-3",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00206380","C42D4.18",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00016321","tppp-1",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00022248","Y73B6BL.27",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00022802","ZK688.7",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00013242","Y56A3A.30",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00013598","vps-28",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00014130","ZK892.6",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00017265","snpc-1.3",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00001629","gly-4",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00002176","jip-1",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00016346","fbxa-120",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00015132","B0303.14",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00013728","Y111B2A.2",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00015014","bath-24",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00000262","bra-1",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00010421","slc-36.4",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00022171","Y71H2AM.6",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00018076","pifk-1",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00000529","clh-2",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00014041","ZK666.1",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00166375","21ur-15579",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00004010","pha-1",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00000764","coq-4",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00023020","F30H5.4",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00019959","R08E3.3",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00010131","F55H2.5",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00000213","asm-3",37,"Germline #1 gene expression and nuclear proteins"
"WBGene00013667","Y105E8A.2",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00007505","pezo-1",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00001036","dnj-18",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00077543","F27D4.8",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00010436","JC8.4",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00011604","T08A11.1",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00003509","mxl-1",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00011236","R11A8.1",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00001332","eri-1",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00008747","phf-31",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00017829","F26F4.9",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00219700","linc-6",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00017147","EGAP2.1",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00015554","C06G3.8",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00002031","hst-6",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00004822","skr-16",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00219959","F52D2.14",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00011281","R74.7",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00001325","eor-2",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00022193","ppfr-4",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00007771","C27C12.1",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00010066","F54F7.6",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00012385","Y5F2A.4",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00019004","xpg-1",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00012157","adbp-1",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00016608","cogc-5",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00009771","F46B6.6",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00000834","cua-1",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00044290","B0035.18",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00000890","sig-7",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00009736","ciao-2B",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00010286","F58H1.3",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00011687","cwc-15",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00010839","chl-1",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00011758","T13H5.4",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00010161","F56G4.6",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00016964","C56C10.7",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00009277","F30F8.10",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00009011","F21D5.6",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00044651","egrh-3",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00009370","set-10",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00003012","lin-26",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00086566","C08H9.16",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00004063","pmr-1",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00302978","C42C1.19",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00010484","dph-3",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00006709","ubc-14",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00008133","efsc-1",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00013239","Y56A3A.22",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00013926","nep-1",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00022865","ufbp-1",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00018189","nhr-181",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00220131","Y11D7A.21",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00014256","ZK1320.7",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00013093","cup-14",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00021425","ppgn-1",73,"Germline #1 gene expression and nuclear proteins"
"WBGene00001001","dis-3",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00012651","orc-4",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00018339","abcf-3",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00009211","wdr-46",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00001095","dars-2",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00001609","glp-1",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00018802","F54D8.6",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00001596","gld-2",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00001580","gex-3",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00003389","mog-1",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00008848","inft-2",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00009127","clsp-1",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00000156","apr-1",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00004684","rsd-6",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00012972","rsa-2",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00019767","rpa-2",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00014219","ZK1098.2",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00018635","nprl-2",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00015743","soap-1",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00018833","ztf-1",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00017606","ets-6",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00018016","lrr-1",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00000874","cyk-3",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00017738","tipn-1",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00013591","gcn-2",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00003085","ccar-1",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00007428","wdr-20",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00004737","scc-1",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00021332","Y34D9A.7",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00013679","Y105E8A.21",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00010493","meg-2",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00017165","F01F1.11",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00000872","cyk-1",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00011368","tftc-5",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00018371","ess-2",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00016158","ari-1.1",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00018131","F37A4.1",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00011614","nfya-1",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00013592","Y81G3A.4",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00010232","F58B3.6",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00017355","F10E9.3",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00016902","C53D5.1",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00020422","T10F2.2",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00003598","nhl-2",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00013482","Y69H2.7",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00009479","fcp-1",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00020935","fnci-1",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00021607","Y46H3C.7",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00009220","F28D9.4",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00017217","F07F6.4",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00006976","zhp-3",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00016836","C50F2.2",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00007048","nfx-1",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00021103","eri-3",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00009770","F46B6.5",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00003397","mom-5",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00044072","ham-3",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00007043","algn-10",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00002225","klp-15",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00006994","zyg-9",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00016245","rbmx-2",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00001491","frm-4",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00019429","K06A5.1",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00017016","snap-1",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00015194","trul-1",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00007647","C17E4.10",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00008082","com-1",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00012990","sam-10",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00001997","hpr-9",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00015641","C09E7.7",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00004880","smg-2",48,"Germline #1 gene expression and nuclear proteins"
"WBGene00012481","Y18D10A.11",130,"Germline #1 gene expression and nuclear proteins"
"WBGene00018991","F56F11.4",130,"Germline #1 gene expression and nuclear proteins"
"WBGene00009374","F34D10.4",130,"Germline #1 gene expression and nuclear proteins"
"WBGene00021465","ekl-7",130,"Germline #1 gene expression and nuclear proteins"
"WBGene00003994","pgl-3",130,"Germline #1 gene expression and nuclear proteins"
"WBGene00008503","F01G4.4",130,"Germline #1 gene expression and nuclear proteins"
"WBGene00022281","abtm-1",130,"Germline #1 gene expression and nuclear proteins"
"WBGene00006497","tag-151",130,"Germline #1 gene expression and nuclear proteins"
"WBGene00011885","T21B10.3",130,"Germline #1 gene expression and nuclear proteins"
"WBGene00011994","samp-1",130,"Germline #1 gene expression and nuclear proteins"
"WBGene00003216","memi-1",130,"Germline #1 gene expression and nuclear proteins"
"WBGene00016977","akap-1",130,"Germline #1 gene expression and nuclear proteins"
"WBGene00021277","Y23H5B.6",130,"Germline #1 gene expression and nuclear proteins"
"WBGene00019124","F59E12.9",130,"Germline #1 gene expression and nuclear proteins"
"WBGene00009364","wbp-11",130,"Germline #1 gene expression and nuclear proteins"
"WBGene00001498","fars-3",130,"Germline #1 gene expression and nuclear proteins"
"WBGene00019168","H06I04.3",130,"Germline #1 gene expression and nuclear proteins"
"WBGene00016015","C23G10.8",130,"Germline #1 gene expression and nuclear proteins"
"WBGene00019196","H14A12.3",130,"Germline #1 gene expression and nuclear proteins"
"WBGene00021329","Y34D9A.3",130,"Germline #1 gene expression and nuclear proteins"
"WBGene00045383","sup-46",130,"Germline #1 gene expression and nuclear proteins"
"WBGene00001258","emb-4",130,"Germline #1 gene expression and nuclear proteins"
"WBGene00021346","Y37E3.1",130,"Germline #1 gene expression and nuclear proteins"
"WBGene00011722","rbm-22",130,"Germline #1 gene expression and nuclear proteins"
"WBGene00015943","tiar-1",130,"Germline #1 gene expression and nuclear proteins"
"WBGene00004085","pph-4.1",130,"Germline #1 gene expression and nuclear proteins"
"WBGene00001160","efk-1",130,"Germline #1 gene expression and nuclear proteins"
"WBGene00004896","smu-2",130,"Germline #1 gene expression and nuclear proteins"
"WBGene00019628","pup-2",130,"Germline #1 gene expression and nuclear proteins"
"WBGene00008740","F13D12.5",130,"Germline #1 gene expression and nuclear proteins"
"WBGene00021363","taf-6.2",134,"Germline #1 gene expression and nuclear proteins"
"WBGene00009477","rbpl-1",134,"Germline #1 gene expression and nuclear proteins"
"WBGene00018678","tdpo-1",134,"Germline #1 gene expression and nuclear proteins"
"WBGene00018777","F53H1.3",134,"Germline #1 gene expression and nuclear proteins"
"WBGene00017993","cec-5",134,"Germline #1 gene expression and nuclear proteins"
"WBGene00000498","chk-1",134,"Germline #1 gene expression and nuclear proteins"
"WBGene00011819","hal-2",134,"Germline #1 gene expression and nuclear proteins"
"WBGene00019399","K04F10.7",134,"Germline #1 gene expression and nuclear proteins"
"WBGene00086551","D2005.7",134,"Germline #1 gene expression and nuclear proteins"
"WBGene00013674","Y105E8A.14",134,"Germline #1 gene expression and nuclear proteins"
"WBGene00020103","R148.4",134,"Germline #1 gene expression and nuclear proteins"
"WBGene00012469","Y17G7B.18",134,"Germline #1 gene expression and nuclear proteins"
"WBGene00235102","dib-1",134,"Germline #1 gene expression and nuclear proteins"
"WBGene00011329","zipt-9",134,"Germline #1 gene expression and nuclear proteins"
"WBGene00012209","hmg-20",134,"Germline #1 gene expression and nuclear proteins"
"WBGene00013208","Y54G9A.5",134,"Germline #1 gene expression and nuclear proteins"
"WBGene00011814","gtf-2H2C",134,"Germline #1 gene expression and nuclear proteins"
"WBGene00021766","hex-4",134,"Germline #1 gene expression and nuclear proteins"
"WBGene00021515","set-23",134,"Germline #1 gene expression and nuclear proteins"
"WBGene00006514","tdp-1",134,"Germline #1 gene expression and nuclear proteins"
"WBGene00017460","bath-30",134,"Germline #1 gene expression and nuclear proteins"
"WBGene00022776","perm-3",134,"Germline #1 gene expression and nuclear proteins"
"WBGene00018598","F48C1.5",134,"Germline #1 gene expression and nuclear proteins"
"WBGene00000409","cdk-8",134,"Germline #1 gene expression and nuclear proteins"
"WBGene00012698","sws-1",134,"Germline #1 gene expression and nuclear proteins"
"WBGene00008431","piga-1",134,"Germline #1 gene expression and nuclear proteins"
"WBGene00017452","bath-29",134,"Germline #1 gene expression and nuclear proteins"
"WBGene00010721","K09E4.3",134,"Germline #1 gene expression and nuclear proteins"
"WBGene00020705","T22H9.1",134,"Germline #1 gene expression and nuclear proteins"
"WBGene00003611","nhr-12",4,"Germline #1 gene expression and nuclear proteins"
"WBGene00008686","F11A10.5",4,"Germline #1 gene expression and nuclear proteins"
"WBGene00015104","B0280.9",4,"Germline #1 gene expression and nuclear proteins"
"WBGene00009451","cids-2",4,"Germline #1 gene expression and nuclear proteins"
"WBGene00006988","zyg-1",4,"Germline #1 gene expression and nuclear proteins"
"WBGene00003797","npp-11",4,"Germline #1 gene expression and nuclear proteins"
"WBGene00021038","W05F2.6",4,"Germline #1 gene expression and nuclear proteins"
"WBGene00008399","D2005.4",4,"Germline #1 gene expression and nuclear proteins"
"WBGene00219275","Y39G10AR.32",4,"Germline #1 gene expression and nuclear proteins"
"WBGene00001589","gip-1",4,"Germline #1 gene expression and nuclear proteins"
"WBGene00008344","C56A3.5",4,"Germline #1 gene expression and nuclear proteins"
"WBGene00011631","T08G11.4",4,"Germline #1 gene expression and nuclear proteins"
"WBGene00001660","gop-1",4,"Germline #1 gene expression and nuclear proteins"
"WBGene00007258","hasp-1",4,"Germline #1 gene expression and nuclear proteins"
"WBGene00015590","bath-15",4,"Germline #1 gene expression and nuclear proteins"
"WBGene00016021","C23H3.5",4,"Germline #1 gene expression and nuclear proteins"
"WBGene00018794","attf-3",4,"Germline #1 gene expression and nuclear proteins"
"WBGene00014036","ZK643.5",4,"Germline #1 gene expression and nuclear proteins"
"WBGene00006373","syx-5",4,"Germline #1 gene expression and nuclear proteins"
"WBGene00009731","exo-1",4,"Germline #1 gene expression and nuclear proteins"
"WBGene00006613","trm-1",4,"Germline #1 gene expression and nuclear proteins"
"WBGene00015745","C13F10.6",4,"Germline #1 gene expression and nuclear proteins"
"WBGene00022667","ZK154.5",4,"Germline #1 gene expression and nuclear proteins"
"WBGene00044436","Y47G6A.31",4,"Germline #1 gene expression and nuclear proteins"
"WBGene00001998","hpr-17",4,"Germline #1 gene expression and nuclear proteins"
"WBGene00014177","frg-1",4,"Germline #1 gene expression and nuclear proteins"
"WBGene00022812","uvs-1",4,"Germline #1 gene expression and nuclear proteins"
"WBGene00020006","set-15",4,"Germline #1 gene expression and nuclear proteins"
